[-0.06188706  0.23166669 -0.34060443]
[-0.06172347  0.23942162 -0.34124341]
[-0.06164535  0.22847848 -0.34041886]
[-0.06073307  0.24280125 -0.34175129]
[-0.06038419  0.24408481 -0.34219605]
[-0.06021415  0.22108105 -0.34020553]
[-0.05889571  0.24899517 -0.34392609]
[-0.05853292  0.21657084 -0.34027731]
[-0.05813298  0.2156076  -0.34030284]
[-0.05632027  0.25342629 -0.34571634]
[-0.05578428  0.20939325 -0.34150606]
[-0.05409709  0.25764586 -0.3473785 ]
[-0.05404323  0.25769476 -0.34740299]
[-0.05169722  0.20222893 -0.34347242]
[-0.05100151  0.26045804 -0.34882695]
[-0.0475034   0.26388483 -0.35054077]
[-0.04612173  0.19143729 -0.34619043]
[-0.04254321  0.18718995 -0.34784141]
[-0.04184997  0.26685165 -0.35252326]
[-0.03976234  0.26781144 -0.35321377]
[-0.03908536  0.18301808 -0.34973253]
[-0.03707114  0.26831903 -0.3538805 ]
[-0.03538943  0.25018014 -0.34864642]
[-0.03514413  0.26867224 -0.35446397]
[-0.03389213  0.1755033  -0.35275991]
[-0.03186288  0.17371623 -0.35377065]
[-0.03039419  0.17241204 -0.35419836]
[-0.02942683  0.26972361 -0.35619612]
[-0.02618141  0.26967787 -0.35697932]
[-0.02402598  0.16670991 -0.3560528 ]
[-0.02287192  0.17798384 -0.35642321]
[-0.02096611  0.16397007 -0.35694384]
[-0.01904227  0.26972196 -0.35874723]
[-0.01790392  0.16229604 -0.35783853]
[-0.01490525  0.26927764 -0.35962543]
[-0.01101207  0.26892296 -0.36003929]
[-0.00888789  0.15738065 -0.35857357]
[-0.00793163  0.26858596 -0.3603431 ]
[-0.00499262  0.15550083 -0.35887216]
[ 0.00199143  0.26650175 -0.36090249]
[ 0.00348314  0.15431824 -0.35929553]
[ 0.00361989  0.15428907 -0.35930315]
[ 0.00726434  0.15373365 -0.36058578]
[ 0.0092154   0.26409541 -0.36093646]
[ 0.01360501  0.26236275 -0.36084356]
[ 0.01568597  0.26170377 -0.36013553]
[ 0.01678855  0.15418181 -0.36331835]
[ 0.02324739  0.1583297  -0.36391816]
[ 0.02498572  0.24539931 -0.35536674]
[ 0.02714119  0.2566204  -0.35606316]
[ 0.02730853  0.25651437 -0.35599986]
[ 0.02920268  0.25496864 -0.35626689]
[ 0.0312087   0.16155731 -0.3613839 ]
[ 0.03199816  0.25198317 -0.35664446]
[ 0.03423498  0.25020205 -0.35696084]
[ 0.03481783  0.18736726 -0.3579479 ]
[ 0.03720495  0.16198236 -0.3596636 ]
[ 0.03934096  0.16408002 -0.36165346]
[ 0.04101745  0.24441923 -0.35865508]
[ 0.04187014  0.17002676 -0.36407302]
[ 0.04628806  0.23542349 -0.36022581]
[ 0.04683111  0.17846363 -0.36875984]
[ 0.04925262  0.23055199 -0.36092409]
[ 0.05030099  0.2290813  -0.36116943]
[ 0.05288545  0.184935   -0.37023464]
[ 0.05352678  0.18989235 -0.36884167]
[ 0.05592411  0.20288434 -0.36436695]
[ 0.0563327   0.21597546 -0.36261039]
[ 0.0569145   0.20765663 -0.36279407]
