[-0.01495397 -0.21730246 -0.32800241]
[-0.0136607  -0.21452188 -0.32818916]
[-0.01236992 -0.21897385 -0.32709353]
[-0.01001046 -0.20749685 -0.32857025]
[-0.0091296  -0.22106419 -0.32595481]
[-0.00855395 -0.20416638 -0.32881586]
[-0.00664125 -0.20026524 -0.32905458]
[-0.0057471  -0.1980978  -0.32922716]
[-0.00481533 -0.22385373 -0.32443755]
[-0.00271553 -0.19132547 -0.3271356 ]
[ 2.74303878e-04 -2.26340559e-01 -3.22790225e-01]
[ 0.00113581 -0.18396905 -0.32465998]
[ 0.00141627 -0.22698381 -0.32240549]
[ 0.00370208 -0.17857773 -0.32594555]
[ 0.00711717 -0.22935698 -0.31774963]
[ 0.00835485 -0.16867733 -0.32830632]
[ 0.00939365 -0.23035881 -0.31584996]
[ 0.00964337 -0.16594944 -0.32886902]
[ 0.01317625 -0.23113584 -0.31335701]
[ 0.01512402 -0.23213859 -0.31362656]
[ 0.0202752  -0.15662239 -0.33082058]
[ 0.0215614  -0.15524898 -0.33110671]
[ 0.02198352 -0.154816   -0.33126524]
[ 0.02974132 -0.23979737 -0.31564022]
[ 0.03016478 -0.23987078 -0.31570875]
[ 0.03147494 -0.21282983 -0.31779266]
[ 0.03161879 -0.24022288 -0.31593718]
[ 0.03226674 -0.14499798 -0.33491001]
[ 0.03249309 -0.14422152 -0.33515692]
[ 0.03483017 -0.2412591  -0.31642395]
[ 0.03483085 -0.14594835 -0.33480794]
[ 0.03586334 -0.16537053 -0.32910344]
[ 0.03592187 -0.14736487 -0.33446344]
[ 0.04334729 -0.24311695 -0.31600383]
[ 0.04356063 -0.15628388 -0.32986789]
[ 0.04577505 -0.15882026 -0.32855035]
[ 0.04621959 -0.15939479 -0.32842814]
[ 0.0484632  -0.2429838  -0.31580574]
[ 0.05208435 -0.16712797 -0.32679867]
[ 0.05243357 -0.16756312 -0.32665013]
[ 0.05339234 -0.24315732 -0.31560177]
[ 0.05760811 -0.2417187  -0.31549626]
[ 0.05818342 -0.17544244 -0.32402655]
[ 0.05961696 -0.24103045 -0.31543973]
[ 0.06131272 -0.24027837 -0.31539906]
[ 0.06264859 -0.18200182 -0.32187947]
[ 0.06306161 -0.18260516 -0.3216745 ]
[ 0.06816479 -0.23323189 -0.31540006]
[ 0.06976095 -0.23083469 -0.31543146]
[ 0.06976304 -0.19880884 -0.31670615]
[ 0.0706291  -0.22791338 -0.31551526]
[ 0.07213754 -0.20438318 -0.31498852]
[ 0.07222352 -0.2057989  -0.31461546]
[ 0.07226075 -0.20676864 -0.31464722]
[ 0.07248819 -0.22160915 -0.31515784]
